v1,v2
814,74
814,784
814,294
814,333
814,171
814,750
814,246
814,473
814,534
814,711
814,544
814,270
814,969
814,284
814,459
814,188
814,5
814,931
814,558
814,165
814,591
814,451
814,490
814,897
814,582
814,103
814,327
814,87
814,102
814,457
814,938
814,238
814,150
410,528
410,344
410,98
410,632
410,780
410,929
410,333
410,171
410,473
410,534
410,326
410,711
410,354
410,188
410,954
410,670
410,5
410,538
410,663
410,358
410,451
410,582
410,103
410,87
410,926
410,1048
410,196
410,121
410,938
410,440
410,150
216,12
216,817
216,919
216,912
216,909
216,882
216,504
216,77
216,1059
216,190
216,801
216,234
216,204
216,360
216,921
216,578
216,391
216,321
216,671
216,609
216,376
216,193
216,285
216,244
216,425
216,8
216,289
216,508
216,579
216,37
216,965
216,229
216,906
216,905
624,667
624,621
624,572
624,1032
624,529
624,600
624,279
624,310
624,458
624,1051
624,507
624,848
624,402
624,147
624,1010
624,798
624,917
624,608
624,334
624,260
624,790
624,606
624,272
624,249
624,793
624,887
624,1006
624,313
624,833
817,216
817,403
817,554
817,919
817,94
817,399
817,909
817,882
817,504
817,77
817,369
817,951
817,506
817,510
817,190
817,251
817,234
817,204
817,360
817,878
817,799
817,578
817,391
817,321
817,671
817,609
817,376
817,193
817,244
817,8
817,289
817,584
817,697
817,508
817,579
817,965
817,982
817,906
740,325
740,169
740,217
740,148
740,287
740,421
740,60
740,622
740,628
740,476
740,592
740,1042
740,265
740,631
740,729
740,530
740,49
740,338
740,917
740,940
740,6
740,953
740,1005
740,734
740,1041
740,789
740,522
740,653
740,762
740,616
740,830
740,28
740,471
740,3
730,850
730,972
730,181
730,520
730,380
730,434
730,761
730,312
730,70
730,369
730,506
730,985
730,1054
730,941
730,411
730,849
730,263
730,177
730,804
730,226
730,779
730,78
730,274
730,51
730,526
730,535
730,409
730,946
730,913
730,185
730,836
730,79
743,929
743,784
743,995
743,454
743,261
743,1000
743,532
743,390
743,540
743,573
743,709
743,969
743,43
743,977
743,511
743,11
743,537
743,439
743,713
743,343
743,619
743,993
743,818
743,587
743,299
743,191
743,121
743,991
743,956
743,440
743,819
782,727
782,1031
782,918
782,994
782,648
782,1022
782,733
782,41
782,677
782,525
782,183
782,764
782,644
782,1016
782,523
782,1004
782,704
782,604
782,408
782,91
782,695
782,42
782,66
782,536
782,92
782,362
782,412
782,175
782,85
782,300
782,987
782,258
782,795
782,915
875,344
875,577
875,632
875,615
875,780
875,1034
875,294
875,171
875,750
875,960
875,757
875,473
875,281
875,326
875,711
875,270
875,284
875,459
875,5
875,328
875,358
875,558
875,562
875,451
875,375
875,897
875,881
875,546
875,327
875,87
875,102
875,196
875,457
875,938
875,238
875,150
875,839
16,167
16,89
16,33
16,13
16,433
16,18
16,955
16,585
16,984
16,472
16,773
16,792
16,1057
16,1025
16,724
16,95
16,1008
16,55
16,15
16,947
16,545
16,483
16,488
16,794
16,54
16,136
16,144
16,340
16,309
16,277
16,350
16,464
16,1039
16,208
16,371
577,528
577,814
577,875
577,98
577,632
577,615
577,780
577,74
577,294
577,333
577,171
577,750
577,246
577,757
577,473
577,281
577,326
577,711
577,544
577,270
577,969
577,284
577,459
577,188
577,5
577,328
577,558
577,562
577,165
577,591
577,451
577,490
577,375
577,897
577,582
577,103
577,327
577,87
577,102
577,457
577,938
577,238
577,150
98,528
98,814
98,410
98,577
98,632
98,780
98,929
98,74
98,784
98,294
98,333
98,171
98,246
98,473
98,534
98,544
98,270
98,969
98,188
98,5
98,165
98,591
98,451
98,490
98,897
98,582
98,103
98,87
98,926
98,102
98,457
98,938
98,150
217,770
217,740
217,600
217,421
217,622
217,1021
217,247
217,962
217,628
217,592
217,1042
217,404
217,530
217,338
217,638
217,6
217,840
217,1041
217,820
217,789
217,754
217,522
217,653
217,762
217,355
217,616
217,28
217,471
217,645
217,480
217,3
217,553
148,325
148,169
148,1033
148,740
148,315
148,279
148,52
148,628
148,125
148,359
148,49
148,974
148,338
148,917
148,608
148,953
148,531
148,734
148,335
148,790
148,522
148,313
148,53
148,565
148,762
148,616
148,830
148,28
148,471
403,12
403,817
403,554
403,94
403,912
403,399
403,882
403,381
403,77
403,951
403,506
403,510
403,46
403,810
403,251
403,234
403,204
403,884
403,878
403,799
403,578
403,391
403,671
403,609
403,193
403,285
403,975
403,244
403,8
403,289
403,584
403,697
403,707
403,579
403,965
403,982
450,383
450,667
450,557
450,621
450,572
450,1032
450,222
450,529
450,481
450,444
450,864
450,462
450,741
450,620
450,402
450,147
450,1010
450,798
450,334
450,564
450,692
450,120
450,405
450,178
450,272
450,617
450,793
450,1006
450,719
450,122
450,442
450,1039
105,770
105,1033
105,588
105,655
105,807
105,908
105,618
105,962
105,859
105,967
105,139
105,297
105,834
105,958
105,81
105,404
105,530
105,486
105,656
105,840
105,127
105,437
105,436
105,109
105,295
105,714
105,63
105,513
105,854
105,497
105,479
105,602
105,738
105,645
105,48
105,82
105,702
105,641
105,469
105,553
105,448
588,1020
588,105
588,655
588,727
588,1031
588,247
588,807
588,994
588,908
588,35
588,618
588,962
588,859
588,642
588,245
588,732
588,139
588,131
588,297
588,834
588,735
588,404
588,612
588,728
588,99
588,486
588,525
588,127
588,437
588,436
588,295
588,695
588,179
588,63
588,66
588,331
588,635
588,854
588,311
588,479
588,645
588,987
588,48
588,461
588,641
588,407
588,469
588,448
600,325
600,169
600,770
600,624
600,217
600,279
600,550
600,1013
600,530
600,49
600,338
600,917
600,608
600,260
600,953
600,734
600,820
600,789
600,790
600,278
600,249
600,754
600,887
600,313
600,53
600,662
600,355
600,467
600,616
600,28
600,471
600,553
554,817
554,403
554,94
554,399
554,158
554,381
554,77
554,951
554,510
554,505
554,46
554,810
554,251
554,234
554,884
554,878
554,799
554,391
554,609
554,193
554,244
554,289
554,584
554,697
554,707
554,579
554,664
554,965
554,982
287,325
287,740
287,421
287,60
287,827
287,622
287,52
287,680
287,628
287,476
287,592
287,1042
287,265
287,631
287,729
287,686
287,359
287,940
287,1038
287,6
287,1005
287,1041
287,996
287,651
287,318
287,522
287,502
287,653
287,762
287,830
287,28
287,471
287,3
655,1020
655,1033
655,105
655,588
655,1031
655,827
655,52
655,756
655,908
655,618
655,962
655,476
655,979
655,634
655,297
655,275
655,359
655,99
655,1038
655,6
655,335
655,127
655,437
655,714
655,556
655,502
655,565
655,900
655,66
655,653
655,427
655,635
655,762
655,1028
655,471
655,48
655,82
655,3
500,330
500,518
500,381
500,927
500,853
500,869
500,806
500,739
500,505
500,97
500,543
500,413
500,423
500,496
500,58
500,828
500,895
500,888
500,134
500,846
500,731
500,890
500,725
500,163
500,937
500,21
500,842
500,664
500,652
500,138
500,594
500,1026
1056,316
1056,7
1056,388
1056,57
1056,823
1056,924
1056,698
1056,345
1056,629
1056,925
1056,282
1056,232
1056,549
1056,241
1056,239
1056,422
1056,174
1056,808
1056,363
1056,86
1056,1007
1056,389
1056,453
1056,865
1056,243
1056,688
1056,703
1056,1052
1056,726
315,325
315,169
315,1033
315,148
315,279
315,52
315,756
315,125
315,530
315,359
315,49
315,974
315,338
315,917
315,608
315,1038
315,6
315,953
315,531
315,734
315,335
315,790
315,313
315,53
315,565
315,427
315,762
315,616
315,830
315,28
315,471
632,528
632,344
632,814
632,410
632,875
632,577
632,98
632,780
632,929
632,74
632,784
632,294
632,333
632,171
632,246
632,757
632,473
632,534
632,326
632,711
632,544
632,270
632,354
632,969
632,284
632,459
632,188
632,954
632,670
632,5
632,538
632,328
632,663
632,358
632,562
632,165
632,451
632,490
632,897
632,582
632,103
632,327
632,87
632,926
632,1048
632,102
632,196
632,457
632,938
632,440
632,150
615,814
615,875
615,577
615,74
615,1034
615,294
615,995
615,171
615,750
615,246
615,532
615,390
615,757
615,540
615,473
615,281
615,573
615,43
615,977
615,459
615,931
615,558
615,562
615,165
615,591
615,490
615,375
615,327
615,191
615,102
615,991
615,238
615,819
615,150
615,839
316,1056
316,7
316,388
316,826
316,57
316,823
316,698
316,161
316,345
316,925
316,1049
316,329
316,886
316,1036
316,494
316,282
316,240
316,549
316,241
316,239
316,422
316,957
316,352
316,174
316,301
316,1007
316,865
316,243
316,688
316,703
316,758
316,569
850,730
850,94
850,972
850,399
850,181
850,520
850,380
850,761
850,312
850,70
850,369
850,510
850,739
850,941
850,153
850,849
850,263
850,804
850,226
850,888
850,134
850,846
850,779
850,878
850,799
850,731
850,274
850,51
850,535
850,946
850,21
850,845
850,697
850,913
850,652
850,138
850,594
478,27
478,876
478,256
478,230
478,527
478,774
478,1015
478,601
478,145
478,39
478,552
478,625
478,815
478,745
478,684
478,646
478,465
478,988
478,332
478,68
478,772
478,38
478,914
478,379
478,690
478,124
478,777
478,449
478,69
478,342
478,250
478,286
478,474
478,487
478,775
478,786
478,841
478,206
780,344
780,814
780,410
780,875
780,577
780,98
780,632
780,294
780,333
780,171
780,757
780,473
780,326
780,711
780,270
780,284
780,459
780,188
780,5
780,538
780,328
780,663
780,358
780,562
780,451
780,897
780,582
780,103
780,327
780,87
780,926
780,102
780,196
780,457
780,938
780,238
780,150
421,325
421,169
421,770
421,740
421,217
421,287
421,60
421,622
421,962
421,628
421,476
421,592
421,1042
421,265
421,404
421,729
421,530
421,359
421,49
421,338
421,940
421,6
421,953
421,1041
421,789
421,754
421,522
421,653
421,762
421,616
421,28
421,471
421,645
421,480
421,3
421,553
955,167
955,221
955,89
955,323
955,13
955,18
955,16
955,984
955,472
955,512
955,773
955,741
955,446
955,792
955,1057
955,96
955,15
955,1043
955,545
955,483
955,555
955,488
955,54
955,945
955,442
955,144
955,340
955,309
955,277
955,350
955,515
955,1039
955,208
955,371
919,216
919,817
919,972
919,909
919,434
919,882
919,504
919,77
919,369
919,506
919,1059
919,985
919,190
919,801
919,1054
919,849
919,177
919,360
919,921
919,877
919,419
919,47
919,578
919,391
919,321
919,376
919,193
919,975
919,697
919,508
919,579
919,185
919,836
919,906
919,905
94,817
94,403
94,554
94,850
94,972
94,399
94,158
94,381
94,77
94,369
94,951
94,506
94,510
94,505
94,46
94,251
94,153
94,884
94,804
94,878
94,799
94,731
94,391
94,193
94,244
94,584
94,697
94,579
94,664
94,982
94,594
737,33
737,433
737,233
737,209
737,550
737,585
737,32
737,386
737,466
737,59
737,1051
737,958
737,848
737,802
737,1025
737,656
737,724
737,364
737,643
737,531
737,1008
737,55
737,947
737,130
737,336
737,706
737,426
737,649
737,278
737,249
737,313
737,53
737,23
737,662
737,513
737,1019
737,467
737,602
737,738
737,654
737,797
737,968
737,264
737,702
737,168
518,330
518,500
518,268
518,381
518,927
518,853
518,806
518,739
518,505
518,97
518,46
518,810
518,543
518,413
518,884
518,423
518,58
518,828
518,895
518,846
518,890
518,387
518,725
518,163
518,937
518,72
518,842
518,707
518,664
518,138
518,594
972,730
972,850
972,919
972,94
972,399
972,181
972,520
972,380
972,434
972,761
972,312
972,70
972,504
972,369
972,506
972,985
972,801
972,1054
972,941
972,849
972,263
972,177
972,804
972,226
972,888
972,134
972,779
972,78
972,878
972,799
972,731
972,877
972,419
972,47
972,578
972,274
972,51
972,391
972,321
972,535
972,193
972,975
972,946
972,697
972,508
972,579
972,913
972,185
972,836
972,652
972,79
972,594
972,1026
972,905
912,12
912,216
912,403
912,268
912,882
912,77
912,951
912,1059
912,190
912,551
912,234
912,204
912,360
912,921
912,391
912,671
912,609
912,193
912,285
912,975
912,244
912,425
912,8
912,289
912,584
912,579
912,37
912,965
912,229
912,906
279,325
279,169
279,621
279,624
279,148
279,600
279,315
279,310
279,1013
279,507
279,49
279,338
279,917
279,608
279,260
279,953
279,531
279,734
279,820
279,790
279,278
279,249
279,793
279,887
279,313
279,53
279,355
279,467
279,616
279,830
279,28
550,383
550,33
550,433
550,600
550,737
550,585
550,1013
550,32
550,59
550,848
550,402
550,1025
550,564
550,643
550,840
550,55
550,947
550,820
550,278
550,249
550,794
550,313
550,53
550,23
550,662
550,340
550,355
550,467
550,654
550,371
727,782
727,588
727,1031
727,918
727,807
727,994
727,859
727,417
727,642
727,245
727,732
727,733
727,997
727,735
727,612
727,728
727,677
727,525
727,183
727,644
727,1016
727,523
727,295
727,695
727,179
727,66
727,331
727,92
727,362
727,311
727,479
727,85
727,987
727,641
727,407
727,1027
727,304
963,330
963,813
963,927
963,853
963,242
963,420
963,262
963,595
963,610
963,116
963,413
963,418
963,189
963,496
963,118
963,374
963,890
963,771
963,429
963,767
963,197
963,21
963,400
963,992
963,187
963,19
963,385
963,231
963,894
963,509
444,221
444,323
444,667
444,557
444,572
444,778
444,222
444,529
444,481
444,339
444,450
444,492
444,864
444,462
444,741
444,620
444,402
444,798
444,283
444,334
444,692
444,120
444,483
444,405
444,555
444,178
444,272
444,617
444,874
444,470
444,719
444,122
444,442
444,1039
586,215
586,76
586,871
586,71
586,933
586,489
586,666
586,456
586,872
586,614
586,314
586,593
586,861
586,372
586,320
586,668
586,213
586,889
586,435
586,441
586,753
586,596
586,152
586,598
586,164
586,851
586,141
586,687
586,533
586,132
586,140
1053,880
1053,1040
1053,155
1053,73
1053,1050
1053,944
1053,296
1053,254
1053,306
1053,867
1053,1046
1053,1030
1053,1018
1053,415
1053,1037
1053,211
1053,566
1053,893
1053,783
1053,699
1053,769
1053,324
1053,154
1053,452
1053,205
1053,970
1053,627
1053,115
1053,981
60,740
60,287
60,421
60,827
60,622
60,1021
60,680
60,628
60,476
60,592
60,1042
60,131
60,265
60,631
60,729
60,686
60,940
60,1005
60,736
60,1041
60,996
60,651
60,866
60,318
60,502
60,653
60,720
60,762
60,461
60,3
60,835
1031,1020
1031,782
1031,588
1031,655
1031,727
1031,949
1031,827
1031,918
1031,994
1031,979
1031,634
1031,732
1031,297
1031,728
1031,99
1031,677
1031,83
1031,525
1031,183
1031,764
1031,736
1031,644
1031,1016
1031,523
1031,1004
1031,704
1031,437
1031,695
1031,556
1031,502
1031,66
1031,92
1031,635
1031,362
1031,412
1031,300
1031,1028
1031,524
1031,987
1031,48
1031,469
929,528
929,814
929,410
929,743
929,98
929,632
929,74
929,784
929,294
929,995
929,454
929,333
929,171
929,246
929,473
929,534
929,709
929,544
929,354
929,969
929,188
929,954
929,670
