v1,v2
937,1044
937,523
937,113
937,270
937,1265
937,900
937,1146
937,717
937,151
937,1253
937,502
937,576
937,489
937,479
937,298
937,1244
937,898
937,215
937,190
937,897
937,1122
937,678
937,299
937,54
937,827
937,525
95,104
95,380
95,36
95,1200
95,1109
95,88
95,1151
95,755
95,976
95,731
95,552
95,497
95,1158
95,1257
95,374
95,408
95,1040
95,1031
95,1125
95,881
95,191
95,99
95,926
95,1150
95,629
95,456
95,690
95,524
95,841
95,697
95,744
95,78
95,742
95,770
95,485
95,447
95,801
95,600
95,701
907,219
907,193
907,342
907,300
907,937
907,925
907,1114
907,718
907,214
907,853
907,203
907,740
907,946
907,622
907,1044
907,113
907,115
907,270
907,1265
907,168
907,900
907,824
907,356
907,1146
907,151
907,502
907,576
907,311
907,724
907,1244
907,897
907,1122
907,1073
907,299
907,1203
907,1173
907,54
907,845
907,170
907,1184
907,703
907,486
959,68
959,61
959,1206
959,34
959,84
959,326
959,1242
959,101
959,1217
959,271
959,965
959,1121
959,565
959,945
959,592
959,795
959,817
959,134
959,167
959,749
959,1166
959,933
959,82
959,1268
959,0
959,968
959,89
959,57
959,983
959,1093
959,166
959,1137
959,852
959,793
959,106
959,455
1273,7
1273,321
1273,878
1273,615
1273,549
1273,1239
1273,1168
1273,1235
1273,16
1273,963
1273,938
1273,956
1273,803
1273,1045
1273,92
1273,1079
1273,354
1273,30
1273,293
1273,165
1273,710
1273,823
1273,828
1273,1012
1273,1234
1273,879
1273,474
1273,838
1273,1013
458,380
458,63
458,211
458,668
458,726
458,1112
458,731
458,990
458,1257
458,323
458,796
458,521
458,964
458,1271
458,127
458,881
458,638
458,99
458,926
458,291
458,1139
458,384
458,78
458,27
458,416
458,821
458,1159
458,4
458,131
18,93
18,109
18,192
18,619
18,579
18,1278
18,406
18,672
18,598
18,1004
18,189
18,1016
18,1120
18,471
18,1015
18,716
18,477
18,284
18,765
18,639
18,677
18,1129
18,1218
18,1018
18,856
18,448
18,452
18,361
18,391
18,481
18,1119
18,539
18,624
18,756
18,1066
18,643
18,875
18,2
18,534
18,1095
18,237
867,300
867,937
867,925
867,1114
867,718
867,129
867,853
867,622
867,60
867,783
867,1044
867,523
867,91
867,113
867,270
867,1204
867,473
867,1265
867,1111
867,900
867,829
867,1146
867,717
867,151
867,1253
867,887
867,489
867,479
867,298
867,884
867,1244
867,898
867,190
867,897
867,637
867,1122
867,678
867,620
867,54
867,279
867,525
867,530
17,1170
17,317
17,1238
17,58
17,10
17,68
17,61
17,319
17,494
17,34
17,84
17,1153
17,1174
17,349
17,545
17,276
17,158
17,592
17,795
17,763
17,1098
17,111
17,559
17,461
17,635
17,283
17,933
17,597
17,1276
17,538
17,0
17,968
17,443
17,89
17,149
17,43
17,793
17,71
381,679
381,177
381,32
381,83
381,986
381,19
381,376
381,949
381,285
381,947
381,295
381,407
381,654
381,556
381,126
381,1085
381,239
381,1256
381,604
381,201
381,1035
381,444
381,1061
381,1007
381,998
381,1078
381,883
381,1269
381,390
1238,314
1238,498
1238,17
1238,365
1238,591
1238,991
1238,1041
1238,1153
1238,349
1238,429
1238,545
1238,785
1238,1030
1238,835
1238,788
1238,399
1238,167
1238,763
1238,1098
1238,111
1238,559
1238,461
1238,635
1238,441
1238,693
1238,1266
1238,599
1238,933
1238,597
1238,538
1238,968
1238,89
1238,265
1238,164
1238,43
1238,886
1238,71
58,869
58,1170
58,317
58,17
58,10
58,387
58,242
58,347
58,319
58,34
58,84
58,349
58,276
58,660
58,835
58,1
58,1027
58,592
58,795
58,1098
58,111
58,283
58,1276
58,443
58,157
58,149
58,278
58,793
58,71
58,462
58,153
1193,53
1193,332
1193,1155
1193,692
1193,644
1193,689
1193,1179
1193,187
1193,531
1193,1009
1193,754
1193,69
1193,757
1193,649
1193,160
1193,781
1193,893
1193,1117
1193,779
1193,1043
1193,1156
1193,309
1193,1168
1193,241
1193,195
1193,812
1193,432
1193,1127
1193,480
1193,162
1193,1247
1193,601
1193,963
1193,938
1193,709
1193,764
1193,346
1193,327
1193,956
1193,426
1193,995
1193,1045
1193,928
1193,982
1193,1079
1193,354
1193,30
1193,165
1193,236
1193,930
1193,918
1193,823
1193,516
1193,468
1193,828
1193,1234
1193,245
1193,366
1193,929
1193,453
1193,838
694,805
694,589
694,1141
694,1181
694,121
694,230
694,220
694,29
694,238
694,666
694,1113
694,1280
694,618
694,728
694,784
694,66
694,847
694,1252
694,430
694,738
694,1000
694,77
694,467
694,76
694,228
694,94
694,943
694,571
694,37
694,440
694,1094
694,207
694,935
694,675
694,507
694,916
694,490
694,542
694,218
694,1081
694,449
694,331
694,277
694,780
694,555
694,1165
694,22
694,152
694,394
694,243
694,169
989,267
989,569
989,196
989,1069
989,483
989,488
989,97
989,26
989,581
989,105
989,1262
989,1196
989,269
989,1160
989,1080
989,80
989,138
989,890
989,891
989,258
989,570
989,302
989,1082
989,290
989,226
989,913
989,1233
989,1051
989,1163
10,869
10,1170
10,317
10,17
10,58
10,387
10,242
10,319
10,494
10,34
10,84
10,1174
10,349
10,276
10,158
10,660
10,835
10,1
10,1027
10,592
10,795
10,1098
10,111
10,283
10,1276
10,443
