Feature_Name,Score
Gja1,0.2275698203045171
Lamb1,0.22618191198681448
Ldha,0.2257564975678208
S100a16,0.22396300152876591
Serpine1,0.22337712605002125
Nrp1,0.22330530930326953
Lad1,0.22287386475904825
Myct1,0.22263662568720477
Sparcl1,0.2225181141438064
Cxcl16,0.2203113673674375
Tgm2,0.2193345871367378
Sgk1,0.2189576793229513
Tpm1,0.21845382330416774
Prlr,0.21515952807914784
Mcam,0.21374485785095887
Adgrl4,0.21332255383861964
Syt7,0.21030393167159778
Wwtr1,0.20928880765587676
Fbln2,0.20651345020403777
Slc12a2,0.20640411157067184
Itgb6,0.20550755696406098
Wfdc2,0.2043816180500615
Notch4,0.20434928685692322
Tcf4,0.20312129608071183
Sema6d,0.20087703581927485
Edn1,0.2006270441219029
Acly,0.200553023091933
Dcdc2a,0.19926666977940766
Robo4,0.19848743732256047
Igfbp3,0.1984502565031847
Lurap1l,0.198361631393968
Cald1,0.19680400269619058
Kcnn4,0.19672347495019915
Sprr1a,0.19672137873683537
Ifitm3,0.1966956705261098
Efna1,0.196332879354137
Camk2b,0.19599847881453947
Podxl,0.19473524725594027
Palld,0.19443851239719745
Ptprb,0.19388184054701618
Tspan8,0.193646908179685
Fam107b,0.19322349341492462
Krt17,0.19174285311228845
Pdlim1,0.19159719463041558
Sema7a,0.19087210661443565
Cd34,0.18872421026680541
Fam46a,0.18772314144076185
Pnrc1,0.18757547107848493
Id1,0.1873537174921287
Hes1,0.18573459330538666
Marcksl1,0.18294294839331693
Shroom3,0.18280994869412526
Zfp36,0.18163120769680718
Pls3,0.18095685723984323
Gm13889,0.18015385240328285
St14,0.1783757110855917
Ddit4,0.1776112668470491
Mgst1,0.17715592347561593
Cxcr4,0.1768296115341199
Apold1,0.17676563195208095
Rasip1,0.17657543294026556
Gsdma,0.17652029298976268
Insm1,0.17630893781683543
Fn1,0.17521382429940768
Adam8,0.1750207875840677
Erg,0.17484723844171768
Gimap6,0.17434266859791459
Dusp6,0.17358705425005372
Ier5,0.17228401800130522
Plk2,0.17226983325687106
Plin2,0.17181902131446813
Syt4,0.17161703926722893
Neat1,0.17131551582491555
Fam151a,0.1705992534724925
Hspb1,0.17059739707597332
Fscn1,0.17016584313369165
Angpt2,0.16931040543481224
Mest,0.16744007746715406
Ramp3,0.1670732304476048
Myc,0.1663769044968193
Nedd9,0.16527156925278375
Krt19,0.16509903419416094
Arrdc3,0.16318055410533772
Serping1,0.1622721262885749
Pbx1,0.1622204674500609
Aplp2,0.16207549248706377
Isl1,0.16030046449925717
Ctla2a,0.16012989992984838
Glipr1,0.15991929050608356
Rgcc,0.1597775457288324
Plpp3,0.15922156230289275
Sox18,0.15894160258302437
Ly6e,0.1588039559140224
Dll4,0.15838757102575052
Hey1,0.15796067963160842
Fxyd5,0.15760791791008932
Slc39a4,0.15736896253646204
Nfix,0.15725645510365727
Zfp36l2,0.15715011519587296
Lgals3,0.15710132124344334
Adgrl2,0.15703146905830767
Cd74,0.15669509370664247
Plet1,0.15632674899576715
Sat1,0.15618289148276432
Icam1,0.15556899305106064
Ctss,0.15531340615817468
Ptprk,0.1540365960673129
Ache,0.1537622282227673
Ctsc,0.15375903676096625
Inpp5d,0.15316583474443046
Prkcdbp,0.1531550545225433
Lrrfip1,0.15310053476793817
Jun,0.1523967093139471
Igsf9,0.15093601376981347
Wfdc18,0.15033075758007897
Rasgrp3,0.1488808794600711
Il4ra,0.1487071556950097
Gabrp,0.1483673305327189
Ptpre,0.14782514698564198
Col18a1,0.1476232791778198
Mgll,0.14761606217557288
Vwa1,0.1475909182809505
Ano1,0.14712542543502893
F2rl1,0.14705617548133088
Cst3,0.1467519535712798
Hilpda,0.14640247300627474
Coro1a,0.146334727097146
Ptrf,0.1462649577401547
S100a10,0.146064825131055
Arhgap29,0.14558937582185116
Procr,0.14555446282605544
Ttyh1,0.14499450863618657
Plxnd1,0.14498313126349371
Sez6l,0.14461455432768977
Ppp1r18,0.14445471664209375
Nid2,0.1442888336666015
Pdgfb,0.1442536973280899
Smad6,0.14371931567728646
Trim47,0.1434382366366811
Hhex,0.14327045390336623
Arl4c,0.1426196048454429
Meis2,0.14254043318592924
Icam2,0.14235879733877965
Sdc3,0.14177719378202225
Mdfi,0.14177265619021284
Net1,0.14153862958599106
Fstl1,0.14115962408364524
